Pearson_L3I,Pearson_L3S,Pearson_L4I,Pearson_L4S,LogPearson_L3I,LogPearson_L3S,LogPearson_L4I,LogPearson_L4S,LogNormal_L3I,LogNormal_L3S,LogNormal_L4I,LogNormal_L4S,Kappa_L3I,Kappa_L3S,Kappa_L4I,Kappa_L4S,GeneralizedPareto_L3I,GeneralizedPareto_L3S,GeneralizedPareto_L4I,GeneralizedPareto_L4S,GeneralizedLogistic_L3I,GeneralizedLogistic_L3S,GeneralizedLogistic_L4I,GeneralizedLogistic_L4S,GeneralizedGamma_L3I,GeneralizedGamma_L3S,GeneralizedGamma_L4I,GeneralizedGamma_L4S,GEV_L3I,GEV_L3S,GEV_L4I,GEV_L4S,EV1_L3I,EV1_L3S,EV1_L4I,EV1_L4S
-0.26,,0.146962577,,,0.419974887,,0.281670443,-0.26,,0.175743533,,-0.250088973,0.926,-0.140329358,0.88123,-0.26,,0.016455696,,-0.26,,0.223,,,,,,-0.26,,0.136786163,,,,,
-0.25,,0.144827137,,,0.429879866,,0.289215267,-0.25,,0.171716837,,-0.24002648,0.925,-0.145621985,0.8796875,-0.25,,0.013157895,,-0.25,,0.21875,,,,,,-0.25,,0.13342321,,,,,
-0.24,,0.142817325,,,0.439992336,,0.297015108,-0.24,,0.167852944,,-0.230018205,0.924,-0.15167725,0.878146667,-0.24,,0.010084034,,-0.24,,0.214666667,,,,,,-0.24,,0.13024212,,,,,
-0.23,,0.140928463,,,0.449862531,,0.30501771,-0.23,,0.16415134,,-0.220014031,0.923,-0.157472836,0.8766075,-0.23,,0.007232704,,-0.23,,0.21075,,,,,,-0.23,,0.127242241,,,,,
-0.22,,0.139155997,,,0.459981199,,0.31309425,-0.22,,0.160611516,,-0.210023262,0.922,-0.163005305,0.87507,-0.22,,0.00460251,,-0.22,,0.207,,,,,,-0.22,,0.124422942,,,,,
-0.21,,0.137495504,,,0.469970691,,0.321492993,-0.21,,0.157232974,,-0.200053718,0.921,-0.168272693,0.873534167,-0.21,,0.002192067,,-0.21,,0.203416667,,,,,,-0.21,,0.121783614,,,,,
-0.2,,0.135942696,,,0.479918708,,0.330033688,-0.2,,0.154015227,,-0.190087096,0.92,-0.172314663,0.872,-0.2,,-9.25E-18,,-0.2,,0.2,,,,,,-0.2,,0.119323666,,,,,
-0.19,,0.13449343,,,0.489881794,,0.338479836,-0.19,,0.150957796,,-0.180077781,0.919,-0.177106452,0.8704675,-0.19,,-0.001975052,,-0.19,,0.19675,,,,,,-0.19,,0.117042524,,,,,
-0.18,,0.133143717,,,0.49995127,,0.347300194,-0.18,,0.148060219,,-0.170095508,0.918,-0.18163203,0.868936667,-0.18,,-0.00373444,,-0.18,,0.193666667,,,,,,-0.18,,0.114939631,,,,,
-0.17,,0.131889725,,,0.509824309,,0.356496048,-0.17,,0.145322045,,-0.16000117,0.917,-0.185938332,0.8674075,-0.17,,-0.005279503,,-0.17,,0.19075,,,,,,-0.17,,0.113014449,,,,,
-0.16,,0.130727792,,,0.519981847,,0.365765962,-0.16,,0.14274284,,-0.150088309,0.916,-0.189930325,0.86588,-0.16,,-0.00661157,,-0.16,,0.188,,,,,,-0.16,,0.11126645,,,,,
-0.15,,0.129654425,,,0.529787447,,0.374651075,-0.15,,0.140322188,,-0.140074468,0.915,-0.193698542,0.864354167,-0.15,,-0.007731959,,-0.15,,0.185416667,,,,,,-0.15,,0.109695123,,,,,
-0.14,,0.128666311,,,0.539795549,,0.383995225,-0.14,,0.138059689,,-0.130082658,0.914,-0.196303652,0.86283,-0.14,,-0.008641975,,-0.14,,0.183,,,,,,-0.14,,0.10829997,,,,,
-0.13,,0.127760325,,,0.549989768,,0.394405972,-0.13,,0.135954963,,-0.120110296,0.913,-0.199567625,0.8613075,-0.13,,-0.009342916,,-0.13,,0.18075,,,,,,-0.13,,0.107080503,,,,,
-0.12,,0.126933528,,,0.559733962,,0.404099274,-0.12,,0.134007651,,-0.110026669,0.912,-0.202599743,0.859786667,-0.12,,-0.009836066,,-0.12,,0.178666667,,,,,,-0.12,,0.106036247,,,,,
-0.11,,0.126183179,,,0.569867419,,0.414069693,-0.11,,0.132217417,,-0.100128249,0.911,-0.205340069,0.8582675,-0.11,,-0.010122699,,-0.11,,0.17675,,,,,,-0.11,,0.105166737,,,,,
-0.1,,0.125506739,,,0.579988489,,0.424001525,-0.1,,0.130583944,,-0.090122545,0.91,-0.207846616,0.85675,-0.1,,-0.010204082,,-0.1,,0.175,,,,,,-0.1,,0.104471515,,,,,
-0.09,,0.124901873,,,0.589742799,,0.433597142,-0.09,,0.129106942,,-0.080012893,0.909,-0.210111447,0.855234167,-0.09,,-0.010081466,,-0.09,,0.173416667,,,,,,-0.09,,0.103950135,,,,,
-0.08,,0.124366454,,,0.599795564,,0.444980112,-0.08,,0.127786146,,-0.070085135,0.908,-0.212097545,0.85372,-0.08,,-0.009756098,,-0.08,,0.172,,,,,,-0.08,,0.103602157,,,,,
-0.07,,0.123898572,,,0.609922578,,0.456251357,-0.07,,0.126621314,,-0.060052376,0.907,-0.213841143,0.8522075,-0.07,,-0.009229209,,-0.07,,0.17075,,,,,,-0.07,,0.103427148,,,,,
